#,Player,GP-GS,MIN,AVG_MIN,FG-FGA,FG%,3FG-FGA,3FG%,FT-FTA,FT%,OFF,DEF,TOT,AVG_REB,PF,DQ,A,TO,BLK,STL,PTS,AVG_PTS
02,"Starling, J.J.",26-26,900,34.6,169-415,0.407,38-142,0.268,87-127,0.685,19,79,98,3.8,51,1,73,61,8,23,463,17.8
01,"Freeman, Donnie",14-13,355,25.4,68-135,0.504,12-36,0.333,39-49,0.796,15,96,111,7.9,24,0,19,25,5,5,187,13.4
44,"Lampkin Jr., Eddie",33-32,987,29.9,155-260,0.596,2-5,0.4,66-103,0.641,114,203,317,9.6,75,0,70,72,16,14,378,11.5
13,"Davis, Jyáre",33-22,814,24.7,121-229,0.528,16-37,0.432,53-84,0.631,48,115,163,4.9,51,0,45,43,13,21,311,9.4
04,"Bell, Chris",33-13,708,21.5,96-236,0.407,47-133,0.353,69-89,0.775,9,57,66,2.0,49,0,15,35,13,11,308,9.3
05,"Carlos, Jaquan",33-21,949,28.8,73-181,0.403,17-53,0.321,40-57,0.702,11,63,74,2.2,64,1,134,60,5,36,203,6.2
03,"Taylor, Lucas",33-22,707,21.4,70-156,0.449,32-87,0.368,27-32,0.844,11,67,78,2.4,81,4,24,25,5,16,199,6.0
08,"Moore, Elijah",26-16,406,15.6,52-133,0.391,23-73,0.315,9-12,0.75,7,32,39,1.5,15,0,25,21,0,8,136,5.2
00,"Cuffe Jr., Kyle",30-0,371,12.4,43-130,0.331,19-63,0.302,48-61,0.787,9,24,33,1.1,52,1,16,25,2,13,153,5.1
06,"Majstorovic, Petar",31-0,416,13.4,31-64,0.484,5-12,0.417,14-26,0.538,42,57,99,3.2,63,2,22,25,8,13,81,2.6
10,"McLeod, Naheem",18-0,120,6.7,19-23,0.826,0-0,0.0,5-9,0.556,12,20,32,1.8,16,0,4,5,8,1,43,2.4
12,"Clayton, Anthony",2-0,2,1.0,0-0,0.0,0-0,0.0,2-2,1.0,0,0,0,0.0,0,0,0,0,0,0,2,1.0
51,"Fleisher, Nate",2-0,2,1.0,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
34,"Gatty, Chris",2-0,1,0.5,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
24,"Lobdell, Noah",2-0,2,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
11,"Westry, Chance",3-0,10,3.3,0-1,0.0,0-1,0.0,0-0,0.0,0,0,0,0.0,1,0,1,1,0,0,0,0.0
